"","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population"
""," 2016"," 2016"," 2016"," 2015"," 2015"," 2015"," 2010"," 2010"," 2010"," 2005"," 2005"," 2005"," 2000"," 2000"," 2000"
"Country"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Jamaica","39.1","62.4","16.1","39.5","63.2","16.0","47.0","75.5","19.0","51.9","83.9","20.5","36.2","60.8","11.9"
"Japan","0.3","0.3","0.2","0.3","0.3","0.2","0.4","0.4","0.3","0.5","0.6","0.4","0.6","0.8","0.5"
"Jordan","2.9","4.1","1.6","2.9","4.2","1.6","3.3","4.7","1.8","2.0","2.9","1.1","3.1","4.4","1.7"
"Kazakhstan","8.1","13.1","3.3","8.1","13.2","3.3","9.9","16.3","3.8","15.6","26.1","5.9","20.8","35.1","7.5"
"Kenya","5.3","8.7","2.0","5.4","8.7","2.1","5.3","8.7","2.0","3.8","6.4","1.3","5.1","8.6","1.7"
"Kiribati","9.1","14.0","4.3","9.1","14.0","4.4","9.2","14.0","4.6","9.2","14.0","4.5","8.4","12.5","4.4"
"Kuwait","2.7","3.9","1.1","2.8","4.0","1.1","3.1","4.5","1.0","3.7","5.3","1.3","5.7","8.2","2.2"
"Kyrgyzstan","5.8","9.3","2.5","5.9","9.3","2.5","20.7","34.2","7.4","8.3","13.8","3.0","8.7","14.5","3.1"
"Lao People's Democratic Republic","7.0","10.1","4.0","7.1","10.1","4.1","7.4","10.6","4.3","8.1","11.5","4.6","8.5","12.3","4.8"
"Latvia","6.0","9.0","3.5","6.1","9.2","3.5","7.4","11.5","4.0","11.3","17.7","5.8","13.7","20.8","7.7"
"Lebanon","4.5","7.1","1.9","4.4","7.0","1.9","5.0","7.7","2.1","5.0","7.9","2.0","5.4","8.4","2.5"
"Lesotho","35.0","56.2","15.0","35.2","56.5","15.2","36.6","59.1","15.4","37.4","60.3","16.0","38.1","61.4","16.5"
"Liberia","10.0","15.1","4.7","9.8","14.8","4.7","11.2","17.4","4.9","12.6","20.2","5.0","14.9","23.0","6.7"
"Libya","2.5","3.9","1.0","2.5","3.8","1.1","3.0","4.8","1.3","3.6","5.6","1.6","3.7","5.6","1.7"
"Lithuania","5.9","9.3","3.1","6.0","9.4","3.2","7.1","11.3","3.6","11.3","18.0","5.5","11.8","18.1","6.3"
"Luxembourg","0.2","0.2","0.2","0.2","0.2","0.2","2.2","2.2","2.2","1.6","1.7","1.5","1.2","1.3","1.1"
"Madagascar","6.9","10.3","3.5","7.0","10.5","3.6","8.0","12.0","4.0","8.8","13.3","4.3","9.7","14.7","4.7"
"Malawi","1.5","2.4","0.7","1.5","2.4","0.7","3.5","5.7","1.4","1.7","2.9","0.6","7.0","11.4","2.6"
"Malaysia","4.1","6.2","1.8","4.1","6.2","1.8","4.4","6.6","2.0","4.5","6.9","2.0","4.4","6.7","2.1"
"Maldives","3.4","4.8","1.6","3.4","4.9","1.5","3.5","5.1","1.5","3.9","5.9","1.6","3.7","5.6","1.7"
"Mali","11.3","17.2","5.4","11.3","17.2","5.5","12.7","19.4","6.0","13.4","20.4","6.4","14.0","21.0","7.1"
"Malta","0.9","1.2","0.7","0.9","1.2","0.6","0.9","1.2","0.6","0.5","0.6","0.3","1.0","1.3","0.7"
"Mauritania","11.0","16.1","5.7","11.0","16.1","5.8","11.3","16.7","5.8","12.5","18.8","6.2","14.0","20.9","7.0"
"Mauritius","1.6","2.4","0.8","2.4","3.5","1.2","4.3","6.4","2.3","4.0","6.1","2.0","3.1","4.9","1.3"
"Mexico","16.9","29.9","4.0","16.6","29.3","3.9","22.3","39.8","5.0","9.6","16.9","2.5","11.2","19.7","2.8"
"Micronesia (Federated States of)","4.8","6.5","3.1","4.8","6.5","3.1","4.7","6.2","3.2","4.7","6.0","3.2","4.4","5.7","3.1"
"Mongolia","8.9","15.4","2.4","9.0","15.6","2.5","10.1","17.4","2.9","18.1","30.9","5.4","15.9","26.0","5.9"
"Montenegro","2.6","3.7","1.5","2.6","3.8","1.5","2.7","3.9","1.6","3.0","4.3","1.8","3.3","4.6","2.0"
"Morocco","1.4","2.1","0.7","1.4","2.1","0.7","1.7","2.5","0.8","1.8","2.9","0.8","1.9","3.0","0.8"
"Mozambique","2.5","4.1","1.1","2.6","4.2","1.1","3.4","5.5","1.4","5.3","8.6","2.1","5.6","9.2","2.4"
"Myanmar","4.1","5.8","2.4","4.1","5.9","2.5","4.5","6.4","2.7","4.7","6.5","3.0","4.8","6.4","3.2"
"Namibia","18.3","32.0","5.3","18.6","32.5","5.5","16.9","29.2","5.3","19.9","34.5","6.1","23.2","40.1","7.1"
"Nepal","3.3","5.1","1.7","3.3","5.1","1.7","3.5","5.4","1.8","4.2","6.3","2.1","3.2","4.8","1.6"
"Netherlands","0.7","0.8","0.5","0.6","0.7","0.5","0.9","1.1","0.7","1.1","1.4","0.8","1.2","1.5","0.8"
"New Zealand","1.1","1.4","0.9","1.1","1.4","0.9","1.3","1.6","1.0","1.8","2.3","1.3","1.5","2.0","1.1"
"Nicaragua","13.9","24.6","3.4","13.8","24.6","3.4","15.5","27.6","3.8","15.4","27.2","4.0","10.8","18.7","3.0"
"Niger","10.4","15.4","5.3","10.4","15.5","5.3","11.1","16.5","5.6","11.7","17.4","6.1","14.8","21.7","7.9"
"Nigeria","9.8","14.0","5.4","9.9","14.2","5.5","10.8","15.6","5.8","12.2","17.9","6.4","13.4","19.5","7.1"
"Norway","0.6","0.7","0.5","0.6","0.7","0.5","0.7","0.8","0.6","0.6","0.8","0.5","1.2","1.5","0.9"
"Oman","5.2","6.4","2.9","5.2","6.5","3.0","4.2","5.3","2.6","3.5","4.5","2.1","3.5","4.9","1.8"
"Pakistan","9.6","13.7","5.3","9.6","13.7","5.3","9.1","13.1","4.9","7.3","10.4","4.0","7.4","10.3","4.3"
"Panama","20.5","36.9","4.0","20.5","37.0","3.9","23.5","41.9","4.9","12.7","21.8","3.4","11.2","19.4","2.9"
"Papua New Guinea","10.2","15.5","4.8","10.3","15.5","4.9","9.6","14.4","4.8","9.4","14.2","4.5","8.9","13.3","4.3"
"Paraguay","8.6","14.1","3.1","8.8","14.3","3.1","11.5","18.8","4.0","18.3","30.3","6.0","18.7","31.1","5.9"
"Peru","11.6","19.0","4.3","11.6","18.9","4.3","10.5","17.0","4.1","12.5","20.2","4.7","5.6","9.1","2.1"
"Philippines","14.8","26.3","3.1","15.4","27.4","3.2","17.7","31.6","3.5","19.6","35.2","3.8","20.2","35.6","4.5"
"Poland","0.9","1.4","0.5","1.0","1.5","0.5","1.0","1.6","0.5","1.6","2.5","0.8","2.3","3.5","1.2"
"Portugal","1.2","1.6","0.9","1.3","1.6","0.9","1.5","2.0","1.0","1.6","2.3","0.9","1.4","2.1","0.7"
"Qatar","7.4","8.8","3.0","7.4","8.8","2.9","7.0","8.4","2.8","5.2","6.6","2.4","4.9","6.3","2.3"
"Republic of Korea","1.3","1.6","0.9","1.3","1.7","1.0","1.7","2.2","1.2","2.0","2.5","1.6","1.9","2.4","1.4"
"Republic of Moldova","5.3","7.5","3.3","5.4","7.8","3.3","9.0","13.4","4.9","10.2","14.8","6.1","13.3","19.7","7.4"
"Romania","1.6","2.2","0.9","1.6","2.1","1.1","2.6","3.6","1.6","2.6","3.8","1.5","3.7","5.6","2.0"
"Russian Federation","11.3","18.1","5.5","11.5","18.4","5.6","13.4","21.6","6.3","25.0","40.7","11.3","28.2","45.5","13.1"
"Rwanda","5.5","8.8","2.3","5.6","8.9","2.3","6.1","9.7","2.7","7.5","11.5","3.6","9.4","13.9","5.0"
"Saint Lucia","15.6","26.1","5.5","15.5","26.1","5.4","15.6","26.5","5.1","16.7","28.5","5.4","12.3","21.2","3.9"
"Saint Vincent and the Grenadines","13.8","21.8","5.8","13.2","20.7","5.6","15.2","23.0","7.2","18.3","29.8","6.6","15.2","23.2","7.1"
"Samoa","3.2","4.9","1.4","3.3","5.1","1.4","4.0","6.2","1.7","5.0","7.8","2.1","6.2","9.6","2.6"
"Sao Tome and Principe","7.0","10.7","3.3","7.0","10.8","3.3","7.5","11.4","3.6","7.5","11.2","3.9","8.7","12.7","4.7"
"Saudi Arabia","6.2","6.3","6.1","6.3","6.3","6.2","6.4","6.3","6.5","6.8","6.5","7.2","6.9","6.7","7.2"
"Senegal","7.8","12.3","3.4","8.0","12.5","3.5","8.5","13.1","4.1","9.3","14.2","4.6","10.2","15.4","5.1"
"Serbia","1.6","2.1","1.0","1.5","2.1","1.0","1.7","2.4","1.1","2.1","2.9","1.2","2.6","3.8","1.5"
"Seychelles","9.9","15.2","4.7","9.8","15.1","4.7","9.0","13.7","3.9","8.0","12.4","3.5","6.4","10.0","2.8"
"Sierra Leone","13.1","20.3","6.0","13.1","20.6","5.8","13.9","22.0","6.0","14.6","24.0","5.5","15.2","24.2","6.4"
"Singapore","0.2","0.3","0.2","0.2","0.3","0.2","0.4","0.5","0.3","0.9","1.0","0.7","2.0","2.3","1.6"
"Slovakia","1.3","1.8","0.8","1.3","1.8","0.8","1.6","2.4","0.9","2.0","2.9","1.1","2.6","4.0","1.4"
"Slovenia","0.7","0.8","0.6","0.7","0.8","0.6","0.6","0.8","0.5","1.2","1.6","0.9","1.2","1.6","0.8"
"Solomon Islands","4.3","6.3","2.1","4.4","6.4","2.2","4.8","7.0","2.5","5.5","8.1","2.7","6.0","8.8","3.1"
"Somalia","5.6","8.5","2.7","5.6","8.5","2.7","6.0","9.1","2.9","6.3","9.8","2.9","6.7","10.4","3.0"
"South Africa","33.1","54.9","12.1","33.5","55.6","12.2","34.6","56.6","13.4","39.1","63.3","15.7","48.0","77.6","19.4"
"South Sudan","5.1","7.9","2.2","5.0","7.8","2.2","5.2","8.2","2.2","5.8","9.3","2.3","6.7","10.8","2.6"
"Spain","0.7","0.8","0.5","0.6","0.8","0.5","0.8","1.1","0.6","1.2","1.6","0.7","1.4","2.0","0.8"
"Sri Lanka","3.0","5.2","1.0","3.1","5.4","1.1","4.2","7.1","1.4","7.1","11.9","2.5","7.9","13.4","2.4"
"Sudan","6.2","9.2","3.1","6.3","9.3","3.2","6.7","10.2","3.2","7.5","11.4","3.6","7.8","10.7","4.9"
"Suriname","10.0","15.4","4.7","10.0","15.3","4.6","9.6","15.0","4.2","3.2","5.2","1.2","9.6","15.1","4.0"
"Sweden","1.0","1.5","0.6","1.2","1.7","0.7","1.0","1.5","0.6","1.0","1.3","0.7","1.1","1.4","0.9"
"Switzerland","0.5","0.5","0.5","0.5","0.5","0.5","0.7","0.7","0.6","1.0","1.1","1.0","1.0","1.1","0.9"
"Syrian Arab Republic","2.5","3.6","1.3","2.4","3.5","1.3","2.5","3.6","1.3","2.7","4.0","1.3","2.4","3.6","1.2"
"Tajikistan","1.3","2.0","0.7","1.4","2.0","0.7","2.6","3.8","1.4","2.6","3.9","1.2","5.1","8.3","1.9"
"Thailand","5.0","8.8","1.4","5.1","9.0","1.5","6.3","10.9","1.9","8.4","14.0","2.9","9.4","14.7","4.1"
"Republic of North Macedonia","1.5","2.2","0.8","1.6","2.3","0.9","2.1","3.2","1.1","2.5","3.9","1.2","3.0","4.8","1.3"
"Timor-Leste","5.1","8.1","2.0","5.2","8.2","2.1","5.0","7.7","2.3","5.4","8.2","2.5","6.2","9.5","2.8"
"Togo","9.3","13.7","4.9","9.3","13.8","4.9","9.8","14.8","4.8","10.9","16.6","5.3","11.0","16.5","5.7"
"Tonga","4.6","6.3","2.9","4.6","6.3","3.0","5.2","7.0","3.3","5.8","7.8","3.7","6.6","8.9","4.3"
"Trinidad and Tobago","42.2","74.3","11.0","42.4","74.5","11.1","42.2","72.5","12.6","36.8","62.5","11.6","13.2","21.9","4.7"
